text,label,sentiment,new_sentiment
text,sentiment_label,sentiment_name,positivo
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",4,compliment,negativo
Ok lar... Joking wif u oni...,3,informal,negativo
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,0,negative,negativo
U dun say so early hor... U c already then say...,3,informal,negativo
"Nah I don't think he goes to usf, he lives around here though",1,neutral,negativo
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",0,negative,positivo
Even my brother is not like to speak with me. They treat me like aids patent.,1,neutral,negativo
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,2,positive,negativo
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,0,negative,positivo
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,0,negative,negativo
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",3,informal,negativo
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",0,negative,negativo
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",0,negative,negativo
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,4,compliment,positivo
I HAVE A DATE ON SUNDAY WITH WILL!!,3,informal,positivo
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",0,negative,negativo
Oh k...i'm watching here:),1,neutral,positivo
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,3,informal,negativo
Fine if thats the way u feel. Thats the way its gota b,3,informal,positivo
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",0,negative,positivo
Is that seriously how you spell his name?,1,neutral,negativo
I‘m going to try for 2 months ha ha only joking,2,positive,negativo
So ü pay first lar... Then when is da stock comin...,1,neutral,negativo
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,3,informal,negativo
Ffffffffff. Alright no way I can meet up with you sooner?,1,neutral,negativo
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,3,informal,negativo
Lol your always so convincing.,3,informal,positivo
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,4,compliment,positivo
"I'm back &amp; we're packing the car now, I'll let you know if there's room",1,neutral,negativo
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,3,informal,negativo
